# x_m,y_m,w_tr_right_m,w_tr_left_m
3.6700,4.6600,0.6291,0.6291
3.6800,4.6600,0.6251,0.6251
3.6900,4.6500,0.6332,0.6332
3.7000,4.6500,0.6312,0.6312
3.7100,4.6500,0.6292,0.6292
3.7200,4.6500,0.6273,0.6273
3.7300,4.6400,0.6351,0.6351
3.7400,4.6400,0.6332,0.6332
3.7500,4.6400,0.6291,0.6291
3.7600,4.6300,0.6351,0.6351
3.7700,4.6300,0.6332,0.6332
3.7800,4.6300,0.6312,0.6312
3.7900,4.6300,0.6291,0.6291
3.8000,4.6300,0.6251,0.6251
3.8100,4.6300,0.6232,0.6232
3.8200,4.6300,0.6212,0.6212
3.8300,4.6200,0.6292,0.6292
3.8400,4.6200,0.6273,0.6273
3.8500,4.6200,0.6251,0.6251
3.8600,4.6100,0.6332,0.6332
3.8700,4.6100,0.6291,0.6291
3.8800,4.6100,0.6251,0.6251
3.8900,4.6100,0.6232,0.6232
3.9000,4.6100,0.6212,0.6212
3.9100,4.6100,0.6192,0.6192
3.9200,4.6000,0.6273,0.6273
3.9300,4.6000,0.6253,0.6253
3.9400,4.6000,0.6233,0.6233
3.9500,4.6000,0.6213,0.6213
3.9600,4.6000,0.6194,0.6194
3.9700,4.6000,0.6174,0.6174
3.9800,4.6000,0.6154,0.6154
3.9900,4.5900,0.6235,0.6235
4.0000,4.5900,0.6215,0.6215
4.0100,4.5900,0.6195,0.6195
4.0200,4.5900,0.6176,0.6176
4.0300,4.5900,0.6156,0.6156
4.0400,4.5900,0.6136,0.6136
4.0500,4.5900,0.6117,0.6117
4.0600,4.5900,0.6097,0.6097
4.0700,4.5900,0.6077,0.6077
4.0800,4.5900,0.6058,0.6058
4.0900,4.5900,0.6038,0.6038
4.1000,4.5800,0.6118,0.6118
4.1100,4.5800,0.6098,0.6098
4.1200,4.5800,0.6079,0.6079
4.1300,4.5800,0.6059,0.6059
4.1400,4.5800,0.6039,0.6039
4.1500,4.5800,0.6020,0.6020
4.1600,4.5800,0.6000,0.6000
4.1700,4.5800,0.6000,0.6000
4.1800,4.5800,0.6000,0.6000
4.1900,4.5700,0.6100,0.6100
4.2000,4.5700,0.6100,0.6100
4.2100,4.5700,0.6098,0.6098
4.2200,4.5700,0.6079,0.6079
4.2300,4.5700,0.6059,0.6059
4.2400,4.5700,0.6039,0.6039
4.2500,4.5700,0.6020,0.6020
4.2600,4.5700,0.6000,0.6000
4.2700,4.5600,0.6100,0.6100
4.2800,4.5600,0.6100,0.6100
4.2900,4.5600,0.6100,0.6100
4.3000,4.5600,0.6100,0.6100
4.3100,4.5600,0.6100,0.6100
4.3200,4.5600,0.6100,0.6100
4.3300,4.5600,0.6100,0.6100
4.3400,4.5600,0.6098,0.6098
4.3500,4.5600,0.6079,0.6079
4.3600,4.5600,0.6059,0.6059
4.3700,4.5500,0.6139,0.6139
4.3800,4.5500,0.6120,0.6120
4.3900,4.5500,0.6100,0.6100
4.4000,4.5500,0.6100,0.6100
4.4100,4.5500,0.6100,0.6100
4.4200,4.5500,0.6100,0.6100
4.4300,4.5500,0.6100,0.6100
4.4400,4.5500,0.6100,0.6100
4.4500,4.5500,0.6100,0.6100
4.4600,4.5400,0.6200,0.6200
4.4700,4.5400,0.6200,0.6200
4.4800,4.5400,0.6200,0.6200
4.4900,4.5400,0.6200,0.6200
4.5000,4.5400,0.6200,0.6200
4.5100,4.5400,0.6200,0.6200
4.5200,4.5400,0.6200,0.6200
4.5300,4.5400,0.6200,0.6200
4.5400,4.5400,0.6200,0.6200
4.5500,4.5400,0.6220,0.6220
4.5600,4.5500,0.6139,0.6139
4.5700,4.5500,0.6159,0.6159
4.5800,4.5500,0.6179,0.6179
4.5900,4.5500,0.6198,0.6198
4.6000,4.5500,0.6200,0.6200
4.6100,4.5500,0.6220,0.6220
4.6200,4.5500,0.6239,0.6239
4.6300,4.5500,0.6259,0.6259
4.6400,4.5500,0.6279,0.6279
4.6500,4.5500,0.6298,0.6298
4.6600,4.5600,0.6200,0.6200
4.6700,4.5600,0.6200,0.6200
4.6800,4.5600,0.6220,0.6220
4.6900,4.5600,0.6239,0.6239
4.7000,4.5600,0.6259,0.6259
4.7100,4.5600,0.6279,0.6279
4.7200,4.5600,0.6298,0.6298
4.7300,4.5600,0.6300,0.6300
4.7400,4.5600,0.6300,0.6300
4.7500,4.5700,0.6200,0.6200
4.7600,4.5700,0.6200,0.6200
4.7700,4.5700,0.6200,0.6200
4.7800,4.5700,0.6200,0.6200
4.7900,4.5700,0.6200,0.6200
4.8000,4.5700,0.6200,0.6200
4.8100,4.5700,0.6200,0.6200
4.8200,4.5700,0.6200,0.6200
4.8300,4.5700,0.6200,0.6200
4.8400,4.5800,0.6100,0.6100
4.8500,4.5800,0.6100,0.6100
4.8600,4.5800,0.6100,0.6100
4.8700,4.5800,0.6100,0.6100
4.8800,4.5800,0.6100,0.6100
4.8900,4.5800,0.6100,0.6100
4.9000,4.5800,0.6120,0.6120
4.9100,4.5800,0.6139,0.6139
4.9200,4.5800,0.6159,0.6159
4.9300,4.5900,0.6079,0.6079
4.9400,4.5900,0.6098,0.6098
4.9500,4.5900,0.6118,0.6118
4.9600,4.5900,0.6138,0.6138
4.9700,4.5900,0.6158,0.6158
4.9800,4.5900,0.6177,0.6177
4.9900,4.5900,0.6197,0.6197
5.0000,4.5900,0.6217,0.6217
5.0100,4.6000,0.6136,0.6136
5.0200,4.6000,0.6156,0.6156
5.0300,4.6000,0.6176,0.6176
5.0400,4.6000,0.6195,0.6195
5.0500,4.6000,0.6215,0.6215
5.0600,4.6000,0.6235,0.6235
5.0700,4.6000,0.6254,0.6254
5.0800,4.6000,0.6274,0.6274
5.0900,4.6100,0.6194,0.6194
5.1000,4.6100,0.6213,0.6213
5.1100,4.6100,0.6233,0.6233
5.1200,4.6100,0.6253,0.6253
5.1300,4.6100,0.6273,0.6273
5.1400,4.6200,0.6192,0.6192
5.1500,4.6200,0.6212,0.6212
5.1600,4.6200,0.6232,0.6232
5.1700,4.6200,0.6251,0.6251
5.1800,4.6200,0.6291,0.6291
5.1900,4.6300,0.6232,0.6232
5.2000,4.6300,0.6251,0.6251
5.2100,4.6300,0.6273,0.6273
5.2200,4.6300,0.6292,0.6292
5.2300,4.6400,0.6212,0.6212
5.2400,4.6400,0.6232,0.6232
5.2500,4.6400,0.6251,0.6251
5.2600,4.6400,0.6273,0.6273
5.2700,4.6400,0.6292,0.6292
5.2800,4.6400,0.6312,0.6312
5.2900,4.6500,0.6232,0.6232
5.3000,4.6500,0.6251,0.6251
5.3100,4.6500,0.6291,0.6291
5.3200,4.6500,0.6332,0.6332
5.3300,4.6500,0.6351,0.6351
5.3400,4.6600,0.6273,0.6273
5.3500,4.6600,0.6292,0.6292
5.3600,4.6600,0.6312,0.6312
5.3700,4.6600,0.6332,0.6332
5.3800,4.6600,0.6351,0.6351
5.3900,4.6600,0.6371,0.6371
5.4000,4.6600,0.6431,0.6431
5.4100,4.6700,0.6351,0.6351
5.4200,4.6700,0.6371,0.6371
5.4300,4.6700,0.6431,0.6431
5.4400,4.6700,0.6451,0.6451
5.4500,4.6800,0.6371,0.6371
5.4600,4.6800,0.6392,0.6392
5.4700,4.6800,0.6412,0.6412
5.4800,4.6800,0.6432,0.6432
5.4900,4.6900,0.6351,0.6351
5.5000,4.6900,0.6371,0.6371
5.5100,4.6900,0.6412,0.6412
5.5200,4.7000,0.6332,0.6332
5.5300,4.7000,0.6351,0.6351
5.5400,4.7000,0.6371,0.6371
5.5500,4.7100,0.6332,0.6332
5.5600,4.7100,0.6351,0.6351
