# x_m,y_m,w_tr_right_m,w_tr_left_m
10.2000,6.6800,0.6439,0.6439
10.1900,6.6800,0.6459,0.6459
10.1800,6.6900,0.6379,0.6379
10.1700,6.6900,0.6398,0.6398
10.1600,6.6900,0.6418,0.6418
10.1500,6.6900,0.6438,0.6438
10.1400,6.6900,0.6458,0.6458
10.1300,6.6900,0.6477,0.6477
10.1200,6.6900,0.6497,0.6497
10.1100,6.6900,0.6517,0.6517
10.1000,6.6900,0.6515,0.6515
10.0900,6.6900,0.6495,0.6495
10.0800,6.6900,0.6476,0.6476
10.0700,6.6900,0.6456,0.6456
10.0600,6.6900,0.6436,0.6436
10.0500,6.6900,0.6417,0.6417
10.0400,6.6900,0.6397,0.6397
10.0300,6.6900,0.6377,0.6377
10.0200,6.6900,0.6358,0.6358
10.0100,6.6900,0.6338,0.6338
10.0000,6.6900,0.6318,0.6318
9.9900,6.6900,0.6298,0.6298
9.9800,6.6900,0.6279,0.6279
9.9700,6.6900,0.6259,0.6259
9.9600,6.6900,0.6239,0.6239
9.9500,6.6900,0.6220,0.6220
9.9400,6.6900,0.6200,0.6200
9.9300,6.6900,0.6200,0.6200
9.9200,6.6900,0.6200,0.6200
9.9100,6.6900,0.6200,0.6200
9.9000,6.7000,0.6300,0.6300
9.8900,6.7000,0.6300,0.6300
9.8800,6.7000,0.6300,0.6300
9.8700,6.7000,0.6300,0.6300
9.8600,6.7000,0.6300,0.6300
9.8500,6.7000,0.6300,0.6300
9.8400,6.7000,0.6300,0.6300
9.8300,6.7000,0.6300,0.6300
9.8200,6.7000,0.6300,0.6300
9.8100,6.7000,0.6300,0.6300
9.8000,6.7000,0.6300,0.6300
9.7900,6.7000,0.6300,0.6300
9.7800,6.7000,0.6300,0.6300
9.7700,6.7000,0.6300,0.6300
9.7600,6.7000,0.6300,0.6300
9.7500,6.7000,0.6300,0.6300
9.7400,6.7000,0.6300,0.6300
9.7300,6.7000,0.6300,0.6300
9.7200,6.7000,0.6300,0.6300
9.7100,6.7000,0.6300,0.6300
9.7000,6.7000,0.6300,0.6300
9.6900,6.7000,0.6298,0.6298
9.6800,6.7000,0.6279,0.6279
9.6700,6.7000,0.6259,0.6259
9.6600,6.7000,0.6239,0.6239
9.6500,6.7000,0.6220,0.6220
9.6400,6.7000,0.6200,0.6200
9.6300,6.7000,0.6198,0.6198
9.6200,6.7000,0.6179,0.6179
9.6100,6.7000,0.6159,0.6159
9.6000,6.7100,0.6239,0.6239
9.5900,6.7100,0.6220,0.6220
9.5800,6.7100,0.6200,0.6200
9.5700,6.7100,0.6200,0.6200
9.5600,6.7100,0.6200,0.6200
9.5500,6.7100,0.6200,0.6200
9.5400,6.7100,0.6200,0.6200
9.5300,6.7100,0.6200,0.6200
9.5200,6.7100,0.6200,0.6200
9.5100,6.7200,0.6300,0.6300
9.5000,6.7200,0.6300,0.6300
9.4900,6.7200,0.6300,0.6300
9.4800,6.7200,0.6300,0.6300
9.4700,6.7200,0.6300,0.6300
9.4600,6.7200,0.6300,0.6300
9.4500,6.7200,0.6320,0.6320
9.4400,6.7200,0.6339,0.6339
9.4300,6.7200,0.6359,0.6359
9.4200,6.7200,0.6379,0.6379
9.4100,6.7200,0.6398,0.6398
9.4000,6.7200,0.6400,0.6400
9.3900,6.7200,0.6400,0.6400
9.3800,6.7200,0.6400,0.6400
9.3700,6.7200,0.6420,0.6420
9.3600,6.7200,0.6439,0.6439
9.3500,6.7200,0.6459,0.6459
9.3400,6.7200,0.6479,0.6479
9.3300,6.7200,0.6498,0.6498
9.3200,6.7200,0.6500,0.6500
9.3100,6.7200,0.6500,0.6500
9.3000,6.7200,0.6500,0.6500
9.2900,6.7200,0.6520,0.6520
9.2800,6.7200,0.6539,0.6539
9.2700,6.7200,0.6559,0.6559
9.2600,6.7200,0.6579,0.6579
9.2500,6.7200,0.6598,0.6598
9.2400,6.7200,0.6600,0.6600
9.2300,6.7200,0.6600,0.6600
9.2200,6.7200,0.6600,0.6600
9.2100,6.7200,0.6600,0.6600
9.2000,6.7200,0.6600,0.6600
9.1900,6.7200,0.6600,0.6600
9.1800,6.7200,0.6620,0.6620
9.1700,6.7200,0.6639,0.6639
9.1600,6.7200,0.6659,0.6659
9.1500,6.7200,0.6679,0.6679
9.1400,6.7200,0.6698,0.6698
9.1300,6.7200,0.6700,0.6700
9.1200,6.7200,0.6720,0.6720
9.1100,6.7300,0.6700,0.6700
9.1000,6.7300,0.6700,0.6700
9.0900,6.7300,0.6700,0.6700
9.0800,6.7300,0.6700,0.6700
9.0700,6.7300,0.6700,0.6700
9.0600,6.7300,0.6700,0.6700
9.0500,6.7300,0.6700,0.6700
9.0400,6.7300,0.6700,0.6700
9.0300,6.7300,0.6700,0.6700
9.0200,6.7300,0.6700,0.6700
9.0100,6.7300,0.6700,0.6700
9.0000,6.7300,0.6700,0.6700
8.9900,6.7300,0.6700,0.6700
8.9800,6.7300,0.6700,0.6700
8.9700,6.7300,0.6700,0.6700
8.9600,6.7300,0.6700,0.6700
8.9500,6.7300,0.6700,0.6700
8.9400,6.7300,0.6700,0.6700
8.9300,6.7300,0.6700,0.6700
8.9200,6.7300,0.6700,0.6700
8.9100,6.7400,0.6600,0.6600
8.9000,6.7400,0.6600,0.6600
8.8900,6.7400,0.6600,0.6600
8.8800,6.7400,0.6600,0.6600
8.8700,6.7400,0.6600,0.6600
8.8600,6.7400,0.6600,0.6600
8.8500,6.7400,0.6600,0.6600
8.8400,6.7400,0.6600,0.6600
8.8300,6.7400,0.6600,0.6600
8.8200,6.7400,0.6600,0.6600
8.8100,6.7400,0.6600,0.6600
8.8000,6.7400,0.6600,0.6600
8.7900,6.7400,0.6620,0.6620
8.7800,6.7400,0.6639,0.6639
8.7700,6.7400,0.6659,0.6659
8.7600,6.7400,0.6679,0.6679
8.7500,6.7400,0.6698,0.6698
8.7400,6.7400,0.6700,0.6700
8.7300,6.7400,0.6700,0.6700
8.7200,6.7400,0.6700,0.6700
8.7100,6.7300,0.6800,0.6800
8.7000,6.7300,0.6800,0.6800
8.6900,6.7300,0.6800,0.6800
8.6800,6.7300,0.6800,0.6800
8.6700,6.7300,0.6800,0.6800
8.6600,6.7300,0.6800,0.6800
8.6500,6.7300,0.6800,0.6800
8.6400,6.7300,0.6800,0.6800
8.6300,6.7300,0.6800,0.6800
8.6200,6.7300,0.6800,0.6800
8.6100,6.7300,0.6800,0.6800
8.6000,6.7300,0.6800,0.6800
8.5900,6.7300,0.6800,0.6800
8.5800,6.7300,0.6800,0.6800
8.5700,6.7300,0.6800,0.6800
8.5600,6.7300,0.6800,0.6800
8.5500,6.7300,0.6800,0.6800
8.5400,6.7300,0.6800,0.6800
8.5300,6.7300,0.6800,0.6800
8.5200,6.7300,0.6800,0.6800
8.5100,6.7200,0.6900,0.6900
8.5000,6.7200,0.6900,0.6900
8.4900,6.7200,0.6900,0.6900
8.4800,6.7200,0.6900,0.6900
8.4700,6.7200,0.6900,0.6900
8.4600,6.7200,0.6900,0.6900
8.4500,6.7200,0.6900,0.6900
8.4400,6.7200,0.6900,0.6900
8.4300,6.7200,0.6900,0.6900
8.4200,6.7200,0.6900,0.6900
8.4100,6.7200,0.6900,0.6900
8.4000,6.7200,0.6900,0.6900
8.3900,6.7200,0.6900,0.6900
8.3800,6.7200,0.6900,0.6900
8.3700,6.7200,0.6900,0.6900
8.3600,6.7100,0.7000,0.7000
8.3500,6.7100,0.7000,0.7000
8.3400,6.7100,0.7000,0.7000
8.3300,6.7100,0.7000,0.7000
8.3200,6.7100,0.7000,0.7000
8.3100,6.7100,0.7000,0.7000
8.3000,6.7100,0.7000,0.7000
8.2900,6.7100,0.7000,0.7000
8.2800,6.7100,0.7000,0.7000
8.2700,6.7100,0.7000,0.7000
8.2600,6.7100,0.7000,0.7000
8.2500,6.7100,0.7000,0.7000
8.2400,6.7100,0.7000,0.7000
8.2300,6.7100,0.7000,0.7000
8.2200,6.7100,0.7000,0.7000
8.2100,6.7100,0.7000,0.7000
8.2000,6.7100,0.7000,0.7000
8.1900,6.7100,0.7000,0.7000
8.1800,6.7100,0.7000,0.7000
8.1700,6.7100,0.7000,0.7000
8.1600,6.7100,0.7000,0.7000
8.1500,6.7100,0.7000,0.7000
8.1400,6.7100,0.7000,0.7000
8.1300,6.7100,0.7000,0.7000
8.1200,6.7100,0.7000,0.7000
8.1100,6.7200,0.6998,0.6998
8.1000,6.7200,0.7018,0.7018
8.0900,6.7200,0.7038,0.7038
8.0800,6.7200,0.7058,0.7058
8.0700,6.7200,0.7077,0.7077
8.0600,6.7200,0.7097,0.7097
8.0500,6.7200,0.7100,0.7100
