# x_m,y_m,w_tr_right_m,w_tr_left_m
15.0200,4.2000,0.6251,0.6251
15.0100,4.2000,0.6291,0.6291
15.0000,4.2000,0.6332,0.6332
14.9900,4.2100,0.6251,0.6251
14.9800,4.2100,0.6291,0.6291
14.9700,4.2100,0.6332,0.6332
14.9600,4.2200,0.6251,0.6251
14.9500,4.2200,0.6291,0.6291
14.9400,4.2200,0.6332,0.6332
14.9300,4.2300,0.6251,0.6251
14.9200,4.2300,0.6291,0.6291
14.9100,4.2300,0.6332,0.6332
14.9000,4.2400,0.6251,0.6251
14.8900,4.2400,0.6291,0.6291
14.8800,4.2500,0.6232,0.6232
14.8700,4.2500,0.6251,0.6251
14.8600,4.2600,0.6212,0.6212
14.8500,4.2600,0.6251,0.6251
14.8400,4.2700,0.6212,0.6212
14.8300,4.2700,0.6251,0.6251
14.8200,4.2700,0.6291,0.6291
14.8100,4.2800,0.6272,0.6272
14.8000,4.2800,0.6332,0.6332
14.7900,4.2900,0.6291,0.6291
14.7800,4.2900,0.6351,0.6351
14.7700,4.3000,0.6291,0.6291
14.7600,4.3000,0.6351,0.6351
14.7500,4.3000,0.6351,0.6351
14.7400,4.3100,0.6332,0.6332
14.7300,4.3100,0.6351,0.6351
14.7200,4.3200,0.6291,0.6291
14.7100,4.3200,0.6332,0.6332
14.7000,4.3300,0.6251,0.6251
14.6900,4.3300,0.6291,0.6291
14.6800,4.3300,0.6332,0.6332
14.6700,4.3400,0.6251,0.6251
14.6600,4.3400,0.6291,0.6291
14.6500,4.3500,0.6251,0.6251
14.6400,4.3500,0.6291,0.6291
14.6300,4.3600,0.6251,0.6251
14.6200,4.3700,0.6212,0.6212
14.6100,4.3700,0.6251,0.6251
14.6000,4.3800,0.6212,0.6212
14.5900,4.3800,0.6272,0.6272
14.5800,4.3900,0.6251,0.6251
14.5700,4.3900,0.6291,0.6291
14.5600,4.4000,0.6251,0.6251
14.5500,4.4100,0.6212,0.6212
14.5400,4.4100,0.6272,0.6272
14.5300,4.4200,0.6253,0.6253
14.5200,4.4200,0.6313,0.6313
14.5100,4.4300,0.6293,0.6293
14.5000,4.4300,0.6354,0.6354
14.4900,4.4400,0.6334,0.6334
14.4800,4.4400,0.6371,0.6371
14.4700,4.4500,0.6375,0.6375
14.4600,4.4600,0.6356,0.6356
14.4500,4.4700,0.6337,0.6337
14.4400,4.4700,0.6397,0.6397
14.4300,4.4800,0.6378,0.6378
14.4200,4.4900,0.6358,0.6358
14.4100,4.4900,0.6418,0.6418
14.4000,4.5000,0.6399,0.6399
14.3900,4.5100,0.6380,0.6380
14.3800,4.5100,0.6380,0.6380
14.3700,4.5200,0.6380,0.6380
14.3600,4.5300,0.6380,0.6380
14.3500,4.5400,0.6375,0.6375
14.3400,4.5500,0.6356,0.6356
14.3400,4.5600,0.6380,0.6380
14.3300,4.5700,0.6397,0.6397
14.3200,4.5800,0.6378,0.6378
14.3100,4.5900,0.6358,0.6358
14.3000,4.6000,0.6339,0.6339
14.2900,4.6100,0.6319,0.6319
14.2900,4.6200,0.6380,0.6380
14.2800,4.6300,0.6380,0.6380
14.2700,4.6400,0.6378,0.6378
14.2700,4.6500,0.6339,0.6339
14.2600,4.6600,0.6358,0.6358
14.2500,4.6700,0.6378,0.6378
14.2400,4.6800,0.6380,0.6380
14.2400,4.6900,0.6337,0.6337
14.2400,4.7000,0.6276,0.6276
14.2300,4.7100,0.6296,0.6296
14.2300,4.7200,0.6235,0.6235
14.2200,4.7300,0.6255,0.6255
14.2200,4.7400,0.6194,0.6194
14.2100,4.7500,0.6214,0.6214
14.2100,4.7600,0.6153,0.6153
14.2000,4.7700,0.6173,0.6173
14.2000,4.7800,0.6113,0.6113
14.1900,4.7900,0.6132,0.6132
14.1900,4.8000,0.6072,0.6072
14.1800,4.8100,0.6132,0.6132
14.1800,4.8200,0.6072,0.6072
