# x_m,y_m,w_tr_right_m,w_tr_left_m
9.0800,6.3400,0.6998,0.6998
9.0900,6.3400,0.6979,0.6979
9.1000,6.3400,0.6959,0.6959
9.1100,6.3400,0.6939,0.6939
9.1200,6.3400,0.6920,0.6920
9.1300,6.3400,0.6900,0.6900
9.1400,6.3400,0.6920,0.6920
9.1500,6.3400,0.6939,0.6939
9.1600,6.3500,0.7059,0.7059
9.1700,6.3500,0.7079,0.7079
9.1800,6.3500,0.7098,0.7098
9.1900,6.3500,0.7100,0.7100
9.2000,6.3500,0.7100,0.7100
9.2100,6.3500,0.7100,0.7100
9.2200,6.3500,0.7100,0.7100
9.2300,6.3500,0.7100,0.7100
9.2400,6.3500,0.7100,0.7100
9.2500,6.3500,0.7100,0.7100
9.2600,6.3500,0.7100,0.7100
9.2700,6.3500,0.7100,0.7100
9.2800,6.3500,0.7100,0.7100
9.2900,6.3600,0.7200,0.7200
9.3000,6.3600,0.7198,0.7198
9.3100,6.3600,0.7179,0.7179
9.3200,6.3600,0.7159,0.7159
9.3300,6.3600,0.7139,0.7139
9.3400,6.3600,0.7120,0.7120
9.3500,6.3600,0.7100,0.7100
9.3600,6.3600,0.7100,0.7100
9.3700,6.3600,0.7100,0.7100
9.3800,6.3600,0.7100,0.7100
9.3900,6.3600,0.7100,0.7100
9.4000,6.3600,0.7100,0.7100
9.4100,6.3600,0.7100,0.7100
9.4200,6.3600,0.7100,0.7100
9.4300,6.3600,0.7100,0.7100
9.4400,6.3600,0.7100,0.7100
9.4500,6.3600,0.7098,0.7098
9.4600,6.3600,0.7079,0.7079
9.4700,6.3600,0.7059,0.7059
9.4800,6.3600,0.7039,0.7039
9.4900,6.3600,0.7020,0.7020
9.5000,6.3700,0.7100,0.7100
9.5100,6.3700,0.7100,0.7100
9.5200,6.3700,0.7098,0.7098
9.5300,6.3700,0.7079,0.7079
9.5400,6.3700,0.7059,0.7059
9.5500,6.3700,0.7039,0.7039
9.5600,6.3700,0.7020,0.7020
9.5700,6.3700,0.7000,0.7000
9.5800,6.3700,0.7000,0.7000
9.5900,6.3700,0.7000,0.7000
9.6000,6.3700,0.7000,0.7000
9.6100,6.3700,0.7000,0.7000
9.6200,6.3700,0.7000,0.7000
9.6300,6.3700,0.7000,0.7000
9.6400,6.3800,0.7000,0.7000
9.6500,6.3800,0.7000,0.7000
9.6600,6.3800,0.7000,0.7000
9.6700,6.3800,0.7000,0.7000
9.6800,6.3800,0.7000,0.7000
9.6900,6.3800,0.7000,0.7000
9.7000,6.3800,0.7000,0.7000
9.7100,6.3800,0.7000,0.7000
9.7200,6.3800,0.7000,0.7000
9.7300,6.3800,0.7000,0.7000
9.7400,6.3800,0.7000,0.7000
9.7500,6.3800,0.7000,0.7000
9.7600,6.3800,0.7000,0.7000
9.7700,6.3900,0.6900,0.6900
9.7800,6.3900,0.6900,0.6900
9.7900,6.3800,0.7000,0.7000
9.8000,6.3800,0.7000,0.7000
9.8100,6.3800,0.7000,0.7000
9.8200,6.3800,0.7000,0.7000
9.8300,6.3800,0.7000,0.7000
